"date","IHH","Spread","Selic","Inflacao","Compulsorio","Inadimplencia","ProducaoIndustrial","InadimplenciaIPEADATA","ProducaoIndustrialIPEADATA"
2011-03-01,1306,26.22,11.62,0.79,71575256,3.17,104.4,4.41,-0.666032350142709
2011-04-01,1306,27.01,11.74,0.77,64619909,3.24,97.5,4.55,-1.81268882175226
2011-05-01,1306,26.84,11.92,0.47,69425040,3.37,107.1,4.72,2.68456375838926
2011-06-01,1304,26.72,12.1,0.15,81506620,3.32,102.8,4.71,0.292682926829269
2011-07-01,1304,26.91,12.25,0.16,70147512,3.42,106.1,4.89,-0.748362956033688
2011-08-01,1304,26.48,12.42,0.37,66752810,3.45,110.8,4.96,2.49768732654949
2011-09-01,1291,27.38,11.91,0.53,71815456,3.46,104.8,4.97,-0.945179584120981
2011-10-01,1291,28.09,11.7,0.43,70272118,3.58,106.3,5.12,-1.29990714948933
2011-11-01,1291,27.59,11.4,0.52,61817831,3.58,104.2,5.16,-2.43445692883895
2011-12-01,1324,25.53,10.9,0.5,79526272,3.54,95.7,5.14,-0.931677018633537
2012-01-01,1324,26.82,10.7,0.56,89167168,3.66,88.7,5.33,-4.82832618025751
2012-02-01,1324,27.65,10.4,0.45,70409247,3.71,89.8,5.42,-5.8700209643606
2012-03-01,1312,27.42,9.82,0.21,81954870,3.67,99.7,5.32,-4.50191570881227
2012-04-01,1312,26.84,9.35,0.64,70080178,3.76,92.8,5.41,-4.82051282051282
2012-05-01,1312,25.2,8.87,0.36,68332378,3.76,102.5,5.49,-4.29505135387488
2012-06-01,1304,24.42,8.39,0.08,72806508,3.71,98.3,5.4,-4.37743190661478
2012-07-01,1304,24.17,8.07,0.43,75064184,3.72,104.5,5.43,-1.50801131008482
2012-08-01,1304,23.57,7.85,0.41,73456550,3.75,111.5,5.5,0.631768953068601
2012-09-01,1329,23.38,7.39,0.57,68385395,3.72,103.4,5.45,-1.33587786259541
2012-10-01,1329,22.97,7.23,0.59,70229520,3.76,111.8,5.47,5.17403574788335
2012-11-01,1329,22.84,7.14,0.6,71222187,3.67,104.8,5.36,0.575815738963525
2012-12-01,1345,21.53,7.16,0.79,76694633,3.55,92.2,5.28,-3.65726227795193
2013-01-01,1345,22.21,7.11,0.86,76907060,3.54,94.5,5.29,6.53889515219841
2013-02-01,1345,22.57,7.12,0.6,68717234,3.51,88.1,5.24,-1.89309576837416
2013-03-01,1326,21.9,7.15,0.47,68922878,3.45,97.7,5.12,-2.00601805416248
2013-04-01,1326,21.98,7.26,0.55,72148462,3.47,101.8,5.12,9.69827586206897
2013-05-01,1326,21.58,7.42,0.37,61551792,3.47,105,5.15,2.4390243902439
2013-06-01,1327,20.89,7.9,0.26,75727378,3.25,101.7,4.87,3.4587995930824
2013-07-01,1327,21.62,8.23,0.03,68670039,3.21,108,4.87,3.34928229665072
2013-08-01,1327,21.64,8.45,0.24,65930852,3.13,112,4.77,0.448430493273544
2013-09-01,1347,21.71,8.9,0.35,80920411,3.14,107.3,4.73,3.77176015473888
2013-10-01,1347,22.23,9.25,0.57,63304977,3.06,112.6,4.63,0.715563506261185
2013-11-01,1347,22.17,9.45,0.54,61884038,2.97,106.1,4.5,1.24045801526718
2013-12-01,1380,21.43,9.9,0.92,76504971,2.86,90.1,4.4,-2.27765726681128
2014-01-01,1380,22.76,10.17,0.55,67781882,2.84,92.6,4.4,-2.01058201058202
2014-02-01,1380,24.03,10.43,0.69,63030469,2.86,92.3,4.38,4.76730987514189
2014-03-01,1375,24.19,10.65,0.92,75011630,2.88,97.3,4.39,-0.409416581371547
2014-04-01,1375,24.18,10.87,0.67,69018203,2.92,96,4.43,-5.69744597249509
2014-05-01,1375,24.61,10.9,0.46,62602655,3,101.7,4.58,-3.14285714285714
2014-06-01,1405,25.09,10.9,0.4,66593691,2.9,94.9,4.46,-6.68633235004916
2014-07-01,1405,25.51,10.9,0.01,67056857,2.96,104.4,4.56,-3.33333333333333
2014-08-01,1405,25.51,10.9,0.25,71383450,2.98,106.3,4.6,-5.08928571428572
2014-09-01,1386,24.97,10.9,0.57,73838715,2.91,105.6,4.58,-1.58434296365331
2014-10-01,1386,25.91,10.92,0.42,66321390,2.96,109.3,4.61,-2.93072824156305
2014-11-01,1386,25.82,11.15,0.51,70357116,2.85,99.8,4.45,-5.937794533459
2014-12-01,1368,24.85,11.58,0.78,73897496,2.73,87.7,4.31,-2.66370699223084
2015-01-01,1368,26.91,11.82,1.24,69053687,2.82,88.1,4.41,-4.85961123110151
2015-02-01,1368,27.95,12.15,1.22,69858800,2.85,83.7,4.42,-9.31744312026002
2015-03-01,1345,27.72,12.58,1.32,69611820,2.82,94.3,4.38,-3.08324768756424
2015-04-01,1345,28.93,12.68,0.71,65474383,2.96,88.8,4.57,-7.50000000000001
2015-05-01,1345,29.61,13.15,0.74,72549365,3.02,93.1,4.68,-8.45624385447396
2015-06-01,1361,30.31,13.58,0.79,63989524,2.92,92.5,4.59,-2.52897787144363
2015-07-01,1361,31.24,13.69,0.62,56126083,3.03,95.5,4.77,-8.52490421455939
2015-08-01,1361,31.65,14.15,0.22,63339631,3.12,97.6,4.91,-8.18438381937911
2015-09-01,1300,31.49,14.15,0.54,59054581,3.12,94.3,4.92,-10.7007575757576
2015-10-01,1300,32.64,14.15,0.82,63492822,3.24,97.2,5.02,-11.0704483074108
2015-11-01,1300,33.31,14.15,1.01,63975642,3.38,87.6,5.22,-12.2244488977956
2015-12-01,1345,31.64,14.15,0.96,58997463,3.37,77.2,5.28,-11.9726339794755
2016-01-01,1345,34.22,14.15,1.27,61235516,3.47,76.2,5.44,-13.3938706015891
2016-02-01,1345,35.8,14.15,0.9,75443124,3.5,75.8,5.47,-9.43847072879331
2016-03-01,1335,37.09,14.15,0.43,65006689,3.53,83.7,5.51,-11.2407211028632
2016-04-01,1335,38.74,14.15,0.61,66297304,3.65,83,5.65,-6.53153153153153
2016-05-01,1335,39.2,14.15,0.78,63559081,3.73,86.3,5.79,-7.30397422126745
2016-06-01,1438,39.09,14.15,0.35,58697103,3.51,87.7,5.62,-5.18918918918918
2016-07-01,1438,39.9,14.15,0.52,64730531,3.56,89.6,5.7,-6.1780104712042
2016-08-01,1438,40.38,14.15,0.44,59711693,3.64,93,5.76,-4.71311475409836
2016-09-01,1430,40.97,14.15,0.08,64370771,3.68,90.6,5.78,-3.81760339342523
2016-10-01,1430,41.94,14.05,0.26,66686598,3.84,90.2,5.79,-7.20164609053497
2016-11-01,1430,41.64,13.9,0.18,62181615,3.8,86.6,5.74,-1.25570776255707
2016-12-01,1451,39.84,13.65,0.3,67584004,3.7,77.2,5.63,0
2017-01-01,1451,41.69,13.17,0.38,78641242,3.73,77.9,5.67,2.09698558322413
2017-02-01,1451,42.34,12.82,0.33,76462099,3.75,75.9,5.57,0.13192612137205
2017-03-01,1440,41.81,12.15,0.25,62464721,3.85,85.4,5.72,2.0310633213859
2017-04-01,1440,38.96,11.59,0.14,77230243,3.93,79.3,5.73,-4.45783132530121
2017-05-01,1440,37.36,11.15,0.31,55125117,4.04,90.1,5.94,4.40324449594438
2017-06-01,1452,36.21,10.15,-0.23,74108897,3.73,88.4,5.54,0.798175598631712
2017-07-01,1452,37.17,10.01,0.24,68112449,3.69,92.1,5.62,2.79017857142858
2017-08-01,1452,36.46,9.15,0.19,66014596,3.7,96.7,5.6,3.97849462365591
2017-09-01,1434,34.68,8.35,0.16,72349860,3.6,93,5.41,2.53583241455346
2017-10-01,1434,35.05,8.01,0.42,63010629,3.63,95.1,5.39,5.43237250554323
2017-11-01,1434,34.15,7.4,0.28,69406447,3.54,90.6,5.26,4.73988439306359
2017-12-01,1445,31.74,7,0.44,74445469,3.24,81,4.91,4.92227979274611
