"date","ihh","spread","selic","inflacao","compuls","inad","pib_mensal","inad_ipea","igp_di"
2011-03-01,1357,26.22,11.62,0.79,71575256,4.41,348082.9,4.41,7.57210567420323
2011-04-01,1357,27.01,11.74,0.77,64619909,4.55,349255,4.55,6.11197908235774
2011-05-01,1357,26.84,11.92,0.47,69425040,4.72,366411.2,4.72,0.0814202983003831
2011-06-01,1361,26.72,12.1,0.15,81506620,4.71,371046.4,4.71,-1.56385958182769
2011-07-01,1361,26.91,12.25,0.16,70147512,4.89,373333.7,4.89,-0.60816911972531
2011-08-01,1361,26.48,12.42,0.37,66752810,4.96,377006,4.96,7.60953523148764
2011-09-01,1359,27.38,11.91,0.53,71815456,4.97,361994.5,4.97,9.41216022218181
2011-10-01,1359,28.09,11.7,0.43,70272118,5.12,378842.6,5.12,4.87981624223151
2011-11-01,1359,27.59,11.4,0.52,61817831,5.16,389949.4,5.16,5.24398053472293
2011-12-01,1385,25.53,10.9,0.5,79526272,5.14,392012.5,5.14,-1.90033772574818
2012-01-01,1385,26.82,10.7,0.56,89167168,5.33,367752,5.33,3.64998814238131
2012-02-01,1385,27.65,10.4,0.45,70409247,5.42,367852.6,5.42,0.848717847003178
2012-03-01,1385,27.42,9.82,0.21,81954870,5.32,393868,5.32,6.89014233218959
2012-04-01,1385,26.84,9.35,0.64,70080178,5.41,382581.2,5.41,12.8932289861097
2012-05-01,1385,25.2,8.87,0.36,68332378,5.49,401072.7,5.49,11.5292382785686
2012-06-01,1405,24.42,8.39,0.08,72806508,5.4,399470.5,5.4,8.56582219363646
2012-07-01,1405,24.17,8.07,0.43,75064184,5.43,415385.2,5.43,19.7827930649685
2012-08-01,1405,23.57,7.85,0.41,73456550,5.5,420727.9,5.5,16.6604878420034
2012-09-01,1419,23.38,7.39,0.57,68385395,5.45,394335.9,5.45,11.0881261335594
2012-10-01,1419,22.97,7.23,0.59,70229520,5.47,423408.3,5.47,-3.71290282440302
2012-11-01,1419,22.84,7.14,0.6,71222187,5.36,424493.8,5.36,3.04939230952752
2012-12-01,1465,21.53,7.16,0.79,76694633,5.28,423811.8,5.28,8.19862317455575
2013-01-01,1465,22.21,7.11,0.86,76907060,5.29,414583.9,5.29,3.75158328365517
2013-02-01,1465,22.57,7.12,0.6,68717234,5.24,399106.2,5.24,2.40796562667607
2013-03-01,1474,21.9,7.15,0.47,68922878,5.12,427931.4,5.12,3.72254605164082
2013-04-01,1474,21.98,7.26,0.55,72148462,5.12,439450,5.12,-0.679030485378707
2013-05-01,1474,21.58,7.42,0.37,61551792,5.15,439658.6,5.15,3.92135465233612
2013-06-01,1516,20.89,7.9,0.26,75727378,4.87,443477.5,4.87,9.55403228378113
2013-07-01,1516,21.62,8.23,0.03,68670039,4.87,459578.2,4.87,1.68672726523422
2013-08-01,1516,21.64,8.45,0.24,65930852,4.77,454222.5,4.77,5.69565831887349
2013-09-01,1540,21.71,8.9,0.35,80920411,4.73,440331.5,4.73,17.567149787518
2013-10-01,1540,22.23,9.25,0.57,63304977,4.63,468524.5,4.63,7.78585117188852
2013-11-01,1540,22.17,9.45,0.54,61884038,4.5,468299.2,4.5,3.37293414150366
2013-12-01,1566,21.43,9.9,0.92,76504971,4.4,476455.4,4.4,8.5887776352477
2014-01-01,1566,22.76,10.17,0.55,67781882,4.4,460551.7,4.4,4.94663718389323
2014-02-01,1566,24.03,10.43,0.69,63030469,4.38,456107.7,4.38,10.6259842911134
2014-03-01,1579,24.19,10.65,0.92,75011630,4.39,469282.3,4.39,19.3397505723004
2014-04-01,1579,24.18,10.87,0.67,69018203,4.43,476294.1,4.43,5.54820292887235
2014-05-01,1579,24.61,10.9,0.46,62602655,4.58,480663.9,4.58,-5.32320823877979
2014-06-01,1612,25.09,10.9,0.4,66593691,4.46,465329.8,4.46,-7.34529640129208
2014-07-01,1612,25.51,10.9,0.01,67056857,4.56,490265.9,4.56,-6.40799161672404
2014-08-01,1612,25.51,10.9,0.25,71383450,4.6,485883.3,4.6,0.759292181455451
2014-09-01,1617,24.97,10.9,0.57,73838715,4.58,485984.5,4.58,0.220405825717207
2014-10-01,1617,25.91,10.92,0.42,66321390,4.61,502782.8,4.61,7.36194911455827
2014-11-01,1617,25.82,11.15,0.51,70357116,4.45,498049.1,4.45,14.5673647683823
2014-12-01,1628,24.85,11.58,0.78,73897496,4.31,507757.9,4.31,4.70814232695997
2015-01-01,1628,26.91,11.82,1.24,69053687,4.41,481096.4,4.41,8.3272970665486
2015-02-01,1628,27.95,12.15,1.22,69858800,4.42,466996.4,4.42,6.61147596850074
2015-03-01,1624,27.72,12.58,1.32,69611820,4.38,508717.2,4.38,15.5646354375019
2015-04-01,1624,28.93,12.68,0.71,65474383,4.57,493536,4.57,11.5596488779083
2015-05-01,1624,29.61,13.15,0.74,72549365,4.68,491236.3,4.68,4.94454582485504
2015-06-01,1647,30.31,13.58,0.79,63989524,4.59,495279.2,4.59,8.50423625874528
2015-07-01,1647,31.24,13.69,0.62,56126083,4.77,511103.1,4.77,7.21870577577441
2015-08-01,1647,31.65,14.15,0.22,63339631,4.91,501180.5,4.91,4.92396556616905
2015-09-01,1589,31.49,14.15,0.54,59054581,4.92,495898.8,4.92,18.4841305849385
2015-10-01,1589,32.64,14.15,0.82,63492822,5.02,517844.2,5.02,23.2641357790079
2015-11-01,1589,33.31,14.15,1.01,63975642,5.22,512543.7,5.22,15.3183013675309
2015-12-01,1624,31.64,14.15,0.96,58997463,5.28,520355.2,5.28,5.43923619519082
2016-01-01,1624,34.22,14.15,1.27,61235516,5.44,489413.3,5.44,20.0168853492424
2016-02-01,1624,35.8,14.15,0.9,75443124,5.47,491587.6,5.47,9.8947942052346
2016-03-01,1648,37.09,14.15,0.43,65006689,5.51,518347.5,5.51,5.30239099501644
2016-04-01,1648,38.74,14.15,0.61,66297304,5.65,509687.5,5.65,4.46149974084822
2016-05-01,1648,39.2,14.15,0.78,63559081,5.79,513155.1,5.79,14.459921996055
2016-06-01,1742,39.09,14.15,0.35,58697103,5.62,535366.3,5.62,21.4700276265392
2016-07-01,1742,39.9,14.15,0.52,64730531,5.7,532400.1,5.7,-4.56174010968963
2016-08-01,1742,40.38,14.15,0.44,59711693,5.76,533434.4,5.76,5.33509782054165
2016-09-01,1715,40.97,14.15,0.08,64370771,5.78,510941.5,5.78,0.384511023609013
2016-10-01,1715,41.94,14.05,0.26,66686598,5.79,525394.4,5.79,1.5927008740245
2016-11-01,1715,41.64,13.9,0.18,62181615,5.74,540879.5,5.74,0.646138338215008
2016-12-01,1742,39.84,13.65,0.3,67584004,5.63,566597.7,5.63,10.4415626810591
